Code,Days to Trade,FlowUS$m,Name,Shares to Trade,Status,days,effective_date,profit,relative_profit
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-1,2020/8/31,101.2808783,1.032427846
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-2,2020/8/31,92.40622141,-9.785795312
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-3,2020/8/31,97.34675206,-4.503480946
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-4,2020/8/31,90.57639524,-11.62745245
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-5,2020/8/31,101.0978957,-2.001162423
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-6,2020/8/31,100.1829826,-3.477389533
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-7,2020/8/31,95.79139982,-7.754606243
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-8,2020/8/31,76.39524245,-27.31311087
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-9,2020/8/31,81.97621226,-20.60754118
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-10,2020/8/31,89.11253431,-13.72427054
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-11,2020/8/31,86.36779506,-17.24656774
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-12,2020/8/31,99.08508692,-3.229183211
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-13,2020/8/31,96.98078683,-5.865877168
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-14,2020/8/31,104.8490393,1.547540094
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-15,2020/8/31,108.7831656,5.055751259
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-16,2020/8/31,105.2150046,0.802050972
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-17,2020/8/31,102.5617566,-0.507724053
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-18,2020/8/31,88.47209515,-15.11071839
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-19,2020/8/31,84.6294602,-18.7344803
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-20,2020/8/31,85.45288198,-19.95781717
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-21,2020/8/31,86.91674291,-18.99808722
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-22,2020/8/31,79.78042086,-26.03713236
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-23,2020/8/31,78.40805124,-26.19616979
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-24,2020/8/31,79.78042086,-24.70088949
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-25,2020/8/31,79.23147301,-26.35471893
